REQUEST	RESPONSE	HTTP STATUS
Muthoot Cap	[{"url":"/company/MUTHOOTCAP/","id":2167,"name":"Muthoot Capital Services Ltd"}]	200
BAMPSL Sec	[{"url":"/company/531591/","id":390,"name":"BAMPSL Securities Ltd"}]	200
Central Bank	[{"url":"/company/CENTRALBK/","id":604,"name":"Central Bank of India"}]	200
State B Bikaner	[]	200
Krypton	[{"url":"/company/523550/","id":1837,"name":"Krypton Industries Ltd"}]	200
Tulsyan NEC	[{"url":"/company/513629/","id":3494,"name":"Tulsyan NEC Ltd"}]	200
Arrow Textiles	[{"url":"/company/ARROWTEX/","id":251,"name":"Arrow Textiles Ltd"}]	200
Karnataka Bank	[{"url":"/company/KTKBANK/","id":1722,"name":"Karnataka Bank Ltd"}]	200
EIH	[{"url":"/company/EIHAHOTELS/","id":890,"name":"EIH Associated Hotels Ltd"},{"url":"/company/EIHOTEL/","id":891,"name":"EIH Ltd"}]	200
Karur Vysya	[{"url":"/company/KARURVYSYA/","id":1724,"name":"Karur Vysya Bank Ltd"}]	200
Jyoti Structure	[{"url":"/company/JYOTISTRUC/","id":1671,"name":"Jyoti Structures Ltd"}]	200
KMC Speciality	[{"url":"/company/524520/","id":1804,"name":"KMC Speciality Hospitals (India) Ltd"}]	200
Gemmia Oiltech	[{"url":"/company/511652/","id":2661,"name":"Gemmia Oiltech (India) Ltd"}]	200
Murudeshwar Cer	[{"url":"/company/MURUDCERA/","id":2166,"name":"Murudeshwar Ceramics Ltd"}]	200
State Bk Mysore	[]	200
Rohit Ferro Tec	[{"url":"/company/ROHITFERRO/","id":2773,"name":"Rohit Ferro Tech Ltd"}]	200
Camlin Fine	[{"url":"/company/CAMLINFINE/consolidated/","id":575,"name":"Camlin Fine Sciences Ltd"}]	200
Trent	[{"url":"/company/TRENT/","id":3467,"name":"Trent Ltd"}]	200
Sadbhav Engg	[{"url":"/company/SADBHAV/consolidated/","id":2829,"name":"Sadbhav Engineering Ltd"}]	200
Suzlon Energy	[{"url":"/company/SUZLON/consolidated/","id":3305,"name":"Suzlon Energy Ltd"}]	200
Rei Agro	[{"url":"/company/REIAGROLTD/","id":2716,"name":"REI Agro Ltd"}]	200
Comfort	[{"url":"/company/531216/","id":688,"name":"Comfort Intech Ltd"},{"url":"/company/534691/","id":100570,"name":"Comfort Commotrade Ltd"},{"url":"/company/535267/","id":360112,"name":"Comfort Fincap Ltd"}]	200
ECE Industries	[{"url":"/company/ECEIND/","id":879,"name":"ECE Industries Ltd"}]	200
Premier Energy	[{"url":"/company/533100/","id":2549,"name":"Premier Energy & Infrastructure Ltd"}]	200
Adani Enterpris	[{"url":"/company/ADANIENT/consolidated/","id":56,"name":"Adani Enterprises Ltd"}]	200
Tulive Develop	[{"url":"/company/505285/","id":3492,"name":"Tulive Developers Ltd"}]	200
TV18 Broadcast	[{"url":"/company/TV18BRDCST/consolidated/","id":3500,"name":"TV18 Broadcast Ltd"}]	200
Intellivate Cap	[{"url":"/company/506134/","id":1515,"name":"Intellivate Capital Ventures Ltd"},{"url":"/company/534732/","id":212091,"name":"Intellivate Capital Advisors Ltd"}]	200
Intl Paper APPM	[]	200
Arihant Super	[{"url":"/company/ARIHANTSUP/consolidated/","id":240,"name":"Arihant Superstructures Ltd"}]	200
Jayshree Chem	[{"url":"/company/506520/","id":1601,"name":"Jayshree Chemicals Ltd"},{"url":"/company/524312/","id":1269168,"name":"Vijayshree Chemicals (India) Ltd"}]	200
SML Isuzu	[{"url":"/company/SMLISUZU/","id":3105,"name":"SML ISUZU Ltd"}]	200
Hinduja Found	[{"url":"/company/HINDUJAFO/","id":1330,"name":"Hinduja Foundries Ltd(Merged)"}]	200
Religare Enterp	[{"url":"/company/RELIGARE/","id":2731,"name":"Religare Enterprises Ltd"}]	200
Infomedia Press	[{"url":"/company/INFOMEDIA/","id":1487,"name":"Infomedia Press Ltd"}]	200
City Union Bank	[{"url":"/company/CUB/","id":667,"name":"City Union Bank Ltd"}]	200
Lakshmi Vilas	[{"url":"/company/LAKSHVILAS/","id":1863,"name":"Lakshmi Vilas Bank Ltd"}]	200
TV 18	[]	200
Tinplate	[{"url":"/company/TINPLATE/","id":3428,"name":"Tinplate Company of India Ltd"}]	200
Greenply Ind	[{"url":"/company/GREENPLY/","id":1209,"name":"Greenply Industries Ltd"}]	200
Fortis Health	[{"url":"/company/FORTIS/consolidated/","id":1040,"name":"Fortis Healthcare Ltd"}]	200
Nouveau Global	[{"url":"/company/531465/","id":2294,"name":"Nouveau Global Ventures Ltd"}]	200
Sundaram Brake	[{"url":"/company/SUNDRMBRAK/","id":3251,"name":"Sundaram Brake Linings Ltd"}]	200
Syncom Formula	[{"url":"/company/524470/","id":3328,"name":"Syncom Formulations (India) Ltd"}]	200
High Energy	[{"url":"/company/504176/","id":1313,"name":"High Energy Batteries (India) Ltd"}]	200
Alok Industries	[{"url":"/company/ALOKTEXT/","id":142,"name":"Alok Industries Ltd"}]	200
Chemplast Sanma	[{"url":"/company/CHEMPLAST/","id":634,"name":"Chemplast Sanmar Ltd"}]	200
Gangotri Iron	[{"url":"/company/530945/","id":1093,"name":"Gangotri Iron and Steel Company Ltd"}]	200
Capri Global	[{"url":"/company/CGCL/consolidated/","id":2116,"name":"Capri Global Capital Ltd"}]	200
Jam Shri Ranjit	[]	200
Thomas Cook	[{"url":"/company/THOMASCOOK/consolidated/","id":3416,"name":"Thomas Cook (India) Ltd"}]	200
Multiplus Hold	[{"url":"/company/505594/","id":2158,"name":"Multiplus Holdings Ltd"}]	200
Federal-Mogul	[{"url":"/company/FMGOETZE/","id":1003,"name":"Federal-Mogul Goetze (India) Ltd"}]	200
Sumeet Ind	[{"url":"/company/SUMEETINDS/consolidated/","id":3239,"name":"Sumeet Industries Ltd"}]	200
Dish TV	[{"url":"/company/DISHTV/consolidated/","id":835,"name":"Dish TV India Ltd"}]	200
Dish TV	[{"url":"/company/DISHTV/consolidated/","id":835,"name":"Dish TV India Ltd"}]	200
Tayo Rolls	[{"url":"/company/504961/","id":3377,"name":"Tayo Rolls Ltd"}]	200
Ugar Sugar Work	[{"url":"/company/UGARSUGAR/","id":3523,"name":"Ugar Sugar Works Ltd"}]	200
Tata Inv Corp	[]	200
Tata Motors (D)	[]	200
Tata Motors	[{"url":"/company/TATAMOTORS/consolidated/","id":3370,"name":"Tata Motors Ltd"},{"url":"/company/TATAMTRDVR/","id":1270587,"name":"Tata Motors-DVR"}]	200
Tata Motors (D)	[]	200
Tata Motors	[{"url":"/company/TATAMOTORS/consolidated/","id":3370,"name":"Tata Motors Ltd"},{"url":"/company/TATAMTRDVR/","id":1270587,"name":"Tata Motors-DVR"}]	200
Damodar Ind	[{"url":"/company/DAMODARIND/","id":764,"name":"Damodar Industries Ltd"}]	200
JK Tyre & Ind	[{"url":"/company/JKTYRE/consolidated/","id":1636,"name":"JK Tyre & Industries Ltd"}]	200
Entegra	[{"url":"/company/ENTEGRA/","id":940,"name":"Entegra Ltd"}]	200
Oudh Sugar Mill	[{"url":"/company/OUDHSUG/consolidated/","id":2375,"name":"Oudh Sugar Mills Ltd(Merged)"}]	200
Fact Enterprise	[{"url":"/company/511668/","id":989,"name":"Fact Enterprise Ltd"}]	200
Sanguine Media	[{"url":"/company/531898/","id":2880,"name":"Sanguine Media Ltd"}]	200
Century Extr	[{"url":"/company/CENTEXT/","id":611,"name":"Century Extrusions Ltd"}]	200
Visagar Polytex	[{"url":"/company/VIVIDHA/","id":3682,"name":"Visagar Polytex Ltd"}]	200
United Brewerie	[{"url":"/company/UBHOLDINGS/consolidated/","id":3547,"name":"United Breweries (Holdings) Ltd"},{"url":"/company/UBL/","id":3548,"name":"United Breweries Ltd"}]	200
Filmcity Media	[{"url":"/company/531486/","id":1015,"name":"Filmcity Media Ltd"}]	200
Godrej Consumer	[{"url":"/company/GODREJCP/consolidated/","id":1164,"name":"Godrej Consumer Products Ltd"}]	200
Network 18	[{"url":"/company/NETWORK18/consolidated/","id":2241,"name":"Network 18 Media & Investments Ltd"}]	200
Bodal Chemicals	[{"url":"/company/BODALCHEM/","id":524,"name":"Bodal Chemicals Ltd"}]	200
Indian Hotels	[{"url":"/company/INDHOTEL/consolidated/","id":1443,"name":"Indian Hotels Co Ltd"}]	200
Mukesh Steels	[{"url":"/company/513265/","id":2152,"name":"Mukesh Steels Ltd"}]	200
SBI	[{"url":"/company/500379/","id":1267666,"name":"SBI Home Finance Ltd"},{"url":"/company/SBILIFE/","id":1274150,"name":"SBI Life Insurance Company Ltd"},{"url":"/company/KREBSBIO/","id":1829,"name":"Krebs Biochemicals & Industries Ltd"},{"url":"/company/SBIN/consolidated/","id":3188,"name":"State Bank of India"}]	200
Dhanlaxmi Bank	[{"url":"/company/DHANBANK/","id":806,"name":"Dhanlaxmi Bank Ltd"}]	200
UB Engineering	[{"url":"/company/UBENGG/","id":3519,"name":"UB Engineering Ltd"}]	200
Nandan Denim	[{"url":"/company/NDL/","id":2195,"name":"Nandan Denim Ltd"}]	200
Exide Ind	[{"url":"/company/EXIDEIND/","id":982,"name":"Exide Industries Ltd"}]	200
Spectacle	[{"url":"/company/SPECTACLE/","id":3143,"name":"Spectacle Ventures Ltd"}]	200
Federal Bank	[{"url":"/company/FEDERALBNK/","id":1002,"name":"Federal Bank Ltd"}]	200
HOEC	[]	200
ITD Cementation	[{"url":"/company/ITDCEM/consolidated/","id":1553,"name":"ITD Cementation India Ltd"}]	200
Tata Steel	[{"url":"/company/TATASTEEL/consolidated/","id":3373,"name":"Tata Steel Ltd"}]	200
Sakthi Finance	[{"url":"/company/511066/","id":2846,"name":"Sakthi Finance Ltd"}]	200
DIC India	[{"url":"/company/DICIND/","id":828,"name":"DIC India Ltd"}]	200
Federal-Mogul	[{"url":"/company/FMGOETZE/","id":1003,"name":"Federal-Mogul Goetze (India) Ltd"}]	200
Orbit Exports	[{"url":"/company/ORBTEXP/","id":2346,"name":"Orbit Exports Ltd"}]	200
Cholamandalam	[{"url":"/company/CHOLAFIN/consolidated/","id":648,"name":"Cholamandalam Investment & Finance Company Ltd"}]	200
Dion Global	[{"url":"/company/526927/consolidated/","id":833,"name":"Dion Global Solutions Ltd"}]	200
GTL Infra	[{"url":"/company/GTLINFRA/consolidated/","id":1219,"name":"GTL Infrastructure Ltd"}]	200
Birla Machining	[{"url":"/company/505426/","id":494,"name":"Birla Machining & Toolings Ltd(merged)"}]	200
Orient Paper	[{"url":"/company/ORIENTPPR/","id":2355,"name":"Orient Paper & Industries Ltd"}]	200
Shalimar Prod	[{"url":"/company/512499/","id":2958,"name":"Shalimar Productions Ltd"}]	200
Info Drive Soft	[]	200
Trent	[{"url":"/company/TRENT/","id":3467,"name":"Trent Ltd"}]	200
SSPDL	[{"url":"/company/530821/consolidated/","id":3177,"name":"SSPDL Ltd"}]	200
Auto Corp Goa	[]	200
LG Balakrishnan	[]	200
Vimal Oils	[]	200
Uniproducts	[]	200
Bengal Tea	[{"url":"/company/532230/","id":426,"name":"Bengal Tea & Fabrics Ltd"}]	200
Ennore Coke	[{"url":"/company/512369/","id":937,"name":"Ennore Coke Ltd"}]	200
Kirloskar Ferro	[{"url":"/company/500245/","id":1790,"name":"Kirloskar Ferrous Industries Ltd"}]	200
Dutron Polymers	[{"url":"/company/517437/","id":862,"name":"Dutron Polymers Ltd"}]	200
Karur Vysya	[{"url":"/company/KARURVYSYA/","id":1724,"name":"Karur Vysya Bank Ltd"}]	200
AB Nuvo	[]	200
Spice Mobility	[{"url":"/company/SPICEMOBI/consolidated/","id":2817,"name":"Spice Mobility Ltd"}]	200
Lakshmi Vilas	[{"url":"/company/LAKSHVILAS/","id":1863,"name":"Lakshmi Vilas Bank Ltd"}]	200
Bajaj Finance	[{"url":"/company/BAJFINANCE/","id":372,"name":"Bajaj Finance Ltd"}]	200
Tata Coffee	[{"url":"/company/TATACOFFEE/consolidated/","id":3363,"name":"Tata Coffee Ltd"}]	200
TataTeleservice	[]	200
Sunshield Chem	[{"url":"/company/530845/","id":3266,"name":"Sunshield Chemicals Ltd"}]	200
RS Software	[{"url":"/company/MAARSOFTW/","id":1936,"name":"Maars Software International Ltd"}]	200
JMC Projects	[{"url":"/company/JMCPROJECT/consolidated/","id":1638,"name":"JMC Projects (India) Ltd"}]	200
ITD Cementation	[{"url":"/company/ITDCEM/consolidated/","id":1553,"name":"ITD Cementation India Ltd"}]	200
GRUH Finance	[{"url":"/company/GRUH/","id":1213,"name":"GRUH Finance Ltd"}]	200
Basant Agro Tec	[{"url":"/company/524687/","id":405,"name":"Basant Agro Tech (India) Ltd"}]	200
Pondy Oxides	[{"url":"/company/532626/","id":2517,"name":"Pondy Oxides & Chemicals Ltd"}]	200
